Fetching http://192.168.10.126/log ...
Log offsets: tail=0  head=50984  entries=1234
Device: version=?  time=1775665854
Time                     State  Bat(V)  Drive(A)  Jack(A)  Aux(A)  Counter  Stable       Raw          DrHeat  JkHeat  AxHeat
2026-04-08 16:26:35.141  IDLE   11.996  28.29     -0.06    0.02    286      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.161  IDLE   12.040  35.26     -0.08    -0.05   286      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.172  IDLE   12.050  29.95     -0.06    -0.10   287      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.201  IDLE   12.056  37.61     -0.06    0.11    287      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.221  IDLE   11.959  28.06     -0.38    0.02    287      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.232  IDLE   11.979  27.76     0.28     0.09    288      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.260  IDLE   11.894  26.39     0.01     -0.10   288      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.281  IDLE   11.847  26.39     -0.08    -0.16   288      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.291  IDLE   11.954  32.76     0.12     -0.05   289      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.323  IDLE   12.030  37.00     0.12     -0.07   289      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.341  IDLE   11.996  34.42     0.03     0.11    289      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.353  IDLE   12.032  37.68     0.03     -0.34   290      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.381  IDLE   12.035  27.98     -0.01    0.02    290      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.399  IDLE   12.044  29.27     -0.04    -0.18   291      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.421  IDLE   12.018  26.39     0.05     -0.09   291      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.441  IDLE   11.909  27.68     0.10     -0.11   291      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.462  IDLE   11.889  26.39     0.12     0.02    292      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.481  IDLE   11.948  30.48     -0.08    -0.11   292      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.500  IDLE   11.832  27.38     -0.08    -0.14   292      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.518  IDLE   11.885  26.77     -0.08    0.16    293      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.541  IDLE   11.927  29.05     -0.08    0.14    293      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.561  IDLE   11.860  32.30     -0.01    -0.11   293      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.579  IDLE   11.895  32.68     0.03     -0.16   294      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.600  IDLE   11.947  32.45     0.12     -0.16   294      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.621  IDLE   11.824  22.15     -0.11    0.18    294      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.638  IDLE   11.831  39.42     0.05     0.02    295      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.661  IDLE   11.885  34.50     0.01     0.18    295      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.685  IDLE   11.908  40.71     -0.15    0.02    295      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.698  IDLE   11.896  31.85     -0.01    -0.09   296      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.722  IDLE   11.887  28.36     -0.06    0.11    296      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.741  IDLE   11.886  38.67     0.01     0.23    296      SAFETY+JACK  SAFETY+JACK  2.9     0.0     0.0   
2026-04-08 16:26:35.761  IDLE   11.843  30.26     -0.13    0.09    297      SAFETY       SAFETY       2.9     0.0     0.0   
2026-04-08 16:26:35.781  IDLE   11.814  27.00     -0.08    -0.09   297      SAFETY       SAFETY       2.9     0.0     0.0   
2026-04-08 16:26:35.800  IDLE   11.914  32.30     -0.19    -0.14   297      SAFETY       SAFETY       2.9     0.0     0.0   
2026-04-08 16:26:35.816  IDLE   11.957  37.00     -0.08    -0.00   298      SAFETY+JACK  SAFETY+JACK  2.9     0.0     0.0   
2026-04-08 16:26:35.841  IDLE   12.074  35.64     -0.03    -0.18   298      SAFETY+JACK  SAFETY+JACK  2.9     0.0     0.0   
2026-04-08 16:26:35.861  IDLE   11.956  25.03     -0.08    -0.18   298      SAFETY+JACK  SAFETY+JACK  2.9     0.0     0.0   
2026-04-08 16:26:35.872  IDLE   12.009  25.94     -0.08    0.11    299      SAFETY       SAFETY       2.9     0.0     0.0   
2026-04-08 16:26:35.900  IDLE   12.012  25.48     0.01     -0.18   299      SAFETY       SAFETY       2.9     0.0     0.0   
2026-04-08 16:26:35.923  IDLE   12.075  30.26     0.01     -0.18   299      SAFETY       SAFETY       2.9     0.0     0.0   
2026-04-08 16:26:35.932  IDLE   12.091  33.52     -0.01    0.12    300      SAFETY+JACK  SAFETY+JACK  2.9     0.0     0.0   
2026-04-08 16:26:35.962  IDLE   12.091  28.06     -0.08    0.12    300      SAFETY+JACK  SAFETY+JACK  2.9     0.0     0.0   
2026-04-08 16:26:35.981  IDLE   12.038  28.82     0.22     0.02    300      SAFETY+JACK  SAFETY+JACK  2.9     0.0     0.0   
2026-04-08 16:26:35.992  IDLE   11.965  22.45     -0.08    0.02    301      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.020  IDLE   12.044  34.12     -0.08    -0.04   301      SAFETY       SAFETY       2.9     0.0     0.0   
2026-04-08 16:26:36.041  IDLE   11.987  26.85     0.15     0.34    301      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.052  IDLE   11.936  24.58     -0.08    -0.14   302      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.081  IDLE   12.014  24.20     -0.67    -0.09   302      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.098  IDLE   11.965  24.35     -0.01    -0.25   303      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.120  IDLE   12.013  35.33     0.01     -0.23   303      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.143  IDLE   12.022  24.65     -0.03    -0.09   303      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.160  IDLE   12.018  30.33     -0.12    0.12    304      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.181  IDLE   12.013  31.32     -0.17    -0.04   304      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.201  IDLE   12.037  35.33     0.06     0.03    304      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.213  IDLE   12.076  29.35     0.22     -0.07   305      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.241  IDLE   12.080  24.95     0.01     -0.07   305      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.261  IDLE   12.086  29.95     -0.07    -0.09   305      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.274  IDLE   12.081  26.62     -0.01    0.18    306      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.302  IDLE   12.083  23.59     0.04     -0.13   306      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.320  IDLE   11.972  22.98     0.20     0.18    306      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.339  IDLE   12.005  25.11     0.20     -0.07   307      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.360  IDLE   12.056  33.67     -0.10    0.12    307      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.380  IDLE   12.062  35.48     -0.08    0.03    307      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.395  IDLE   12.085  35.33     -0.08    -0.18   308      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.420  IDLE   11.992  22.98     -0.03    0.05    308      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.440  IDLE   12.042  27.91     -0.08    0.03    309      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.461  IDLE   12.098  34.42     0.17     0.14    309      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.480  IDLE   12.091  32.30     -0.05    0.23    309      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.500  IDLE   11.946  25.33     0.10     -0.09   309      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.512  IDLE   12.022  33.29     -0.05    -0.07   310      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.543  IDLE   12.061  32.23     -0.05    0.05    310      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.554  IDLE   12.011  22.68     0.04     -0.20   311      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.581  IDLE   12.059  32.91     -0.01    0.03    311      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.600  IDLE   11.953  32.15     -0.08    -0.13   311      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.617  IDLE   11.965  28.74     0.15     0.03    312      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.640  IDLE   11.994  26.47     0.06     0.03    312      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.662  IDLE   12.039  23.97     0.06     -0.07   312      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.674  IDLE   12.031  23.97     0.22     0.12    313      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.701  IDLE   11.950  26.02     -0.12    -0.16   313      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.720  IDLE   11.917  23.44     -0.08    0.03    313      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.732  IDLE   11.909  23.29     -0.10    0.12    314      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.762  IDLE   12.012  34.88     0.26     -0.11   314      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.780  IDLE   11.994  31.32     -0.10    0.09    314      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.792  IDLE   12.043  33.29     -0.03    0.21    315      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.820  IDLE   12.021  27.23     0.10     0.00    315      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.840  IDLE   12.079  28.36     0.01     -0.09   315      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.855  IDLE   12.009  28.97     -0.01    0.03    316      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.880  IDLE   11.935  26.24     -0.08    -0.07   316      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:36.897  IDLE   12.002  31.39     -0.19    0.03    317      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.920  IDLE   11.959  27.23     -0.08    -0.18   317      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.940  IDLE   11.887  24.42     -0.08    -0.04   317      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.961  IDLE   11.844  27.30     0.06     0.09    317      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:36.972  IDLE   11.822  32.45     -0.03    0.03    318      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:37.001  IDLE   11.942  28.97     -0.23    0.03    318      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:37.014  IDLE   11.879  26.39     0.13     -0.27   319      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:37.040  IDLE   11.974  32.98     -0.07    -0.18   319      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:37.061  IDLE   11.918  25.56     -0.07    0.03    319      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:37.078  IDLE   11.997  36.24     -0.03    -0.13   320      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:37.100  IDLE   11.899  25.41     -0.26    -0.04   320      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:37.120  IDLE   11.987  33.59     -0.07    0.10    320      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:37.131  IDLE   11.944  28.06     -0.05    0.14    321      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:37.161  IDLE   11.976  24.05     -0.07    0.10    321      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:37.181  IDLE   12.034  28.21     -0.07    0.03    321      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:37.193  IDLE   12.043  32.30     0.54     -0.18   322      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:37.221  IDLE   12.052  24.35     0.13     -0.18   322      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:37.240  IDLE   11.991  26.32     -0.07    0.03    322      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:37.258  IDLE   11.965  24.42     0.06     0.12    323      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:37.280  IDLE   11.963  23.74     -0.05    0.03    323      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:37.300  IDLE   12.024  23.89     -0.05    0.05    323      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:37.313  IDLE   12.042  29.50     0.02     -0.04   324      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:37.340  IDLE   12.082  34.35     0.13     -0.06   324      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:37.367  IDLE   12.072  34.65     -0.07    -0.11   325      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:37.380  IDLE   12.047  22.76     -0.07    0.03    325      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:37.401  IDLE   11.970  22.91     0.06     -0.11   325      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:37.420  IDLE   12.038  34.65     -0.05    -0.09   325      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:37.432  IDLE   12.065  33.52     0.04     0.01    326      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:37.463  IDLE   12.101  28.36     0.13     0.07    326      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:37.477  IDLE   11.997  33.14     -0.07    0.05    327      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:37.500  IDLE   11.948  21.55     0.02     0.01    327      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:37.521  IDLE   12.020  29.95     0.13     0.10    327      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:37.535  IDLE   11.972  33.97     0.13     0.21    328      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:37.569  IDLE   12.005  34.88     0.01     0.12    328      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:37.580  IDLE   12.021  22.45     0.01     0.16    328      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
